,Adverse Event,Age_Grp,Count
9917,Dermatitis exfoliative generalised,18 to 65 years old,0
9918,Dermatitis exfoliative generalised,over 65 years old,3
9919,Lichenoid keratosis,Unknown Age,0
9920,Lichenoid keratosis,under 1 year old,0
9921,Lichenoid keratosis,1 to 13 years old,0
9922,Lichenoid keratosis,13 to 18 years old,0
9923,Lichenoid keratosis,18 to 40,0
9924,Lichenoid keratosis,18 to 65 years old,0
9925,Lichenoid keratosis,over 65 years old,3
9926,Anion gap decreased,Unknown Age,0
9927,Anion gap decreased,under 1 year old,0
9928,Anion gap decreased,1 to 13 years old,0
9929,Anion gap decreased,13 to 18 years old,0
9930,Anion gap decreased,18 to 40,0
9931,Anion gap decreased,18 to 65 years old,0
9932,Anion gap decreased,over 65 years old,1
9933,Bronchopleural fistula,Unknown Age,0
9934,Bronchopleural fistula,under 1 year old,0
9935,Bronchopleural fistula,1 to 13 years old,0
9936,Bronchopleural fistula,13 to 18 years old,0
9937,Bronchopleural fistula,18 to 40,0
9938,Bronchopleural fistula,18 to 65 years old,0
9939,Bronchopleural fistula,over 65 years old,1
9940,Hip fracture,Unknown Age,0
9941,Hip fracture,under 1 year old,0
9942,Hip fracture,1 to 13 years old,0
9943,Hip fracture,13 to 18 years old,0
9944,Hip fracture,18 to 40,0
9945,Hip fracture,18 to 65 years old,0
9946,Hip fracture,over 65 years old,1
9947,Immobile,Unknown Age,0
9948,Immobile,under 1 year old,0
9949,Immobile,1 to 13 years old,0
9950,Immobile,13 to 18 years old,0
9951,Immobile,18 to 40,0
9952,Immobile,18 to 65 years old,0
9953,Immobile,over 65 years old,1
9954,Vitamin D decreased,Unknown Age,0
9955,Vitamin D decreased,under 1 year old,0
9956,Vitamin D decreased,1 to 13 years old,0
9957,Vitamin D decreased,13 to 18 years old,0
9958,Vitamin D decreased,18 to 40,0
9959,Vitamin D decreased,18 to 65 years old,0
9960,Vitamin D decreased,over 65 years old,2
9961,Walking aid user,Unknown Age,0
9962,Walking aid user,under 1 year old,0
9963,Walking aid user,1 to 13 years old,0
9964,Walking aid user,13 to 18 years old,0
9965,Walking aid user,18 to 40,0
9966,Walking aid user,18 to 65 years old,0
9967,Walking aid user,over 65 years old,1
9968,Blood iron decreased,Unknown Age,0
9969,Blood iron decreased,under 1 year old,0
9970,Blood iron decreased,1 to 13 years old,0
9971,Blood iron decreased,13 to 18 years old,0
9972,Blood iron decreased,18 to 40,1
9973,Blood iron decreased,18 to 65 years old,0
9974,Blood iron decreased,over 65 years old,0
9975,Optic neuritis,Unknown Age,0
9976,Optic neuritis,under 1 year old,0
9977,Optic neuritis,1 to 13 years old,0
9978,Optic neuritis,13 to 18 years old,0
9979,Optic neuritis,18 to 40,1
9980,Optic neuritis,18 to 65 years old,0
9981,Optic neuritis,over 65 years old,0
9982,Viraemia,Unknown Age,0
9983,Viraemia,under 1 year old,0
9984,Viraemia,1 to 13 years old,0
9985,Viraemia,13 to 18 years old,0
9986,Viraemia,18 to 40,1
9987,Viraemia,18 to 65 years old,0
9988,Viraemia,over 65 years old,0
9989,White blood cell count abnormal,Unknown Age,0
9990,White blood cell count abnormal,under 1 year old,0
9991,White blood cell count abnormal,1 to 13 years old,0
9992,White blood cell count abnormal,13 to 18 years old,0
9993,White blood cell count abnormal,18 to 40,1
9994,White blood cell count abnormal,18 to 65 years old,0
9995,White blood cell count abnormal,over 65 years old,0
9996,Product closure issue,Unknown Age,0
9997,Product closure issue,under 1 year old,0
9998,Product closure issue,1 to 13 years old,1
9999,Product closure issue,13 to 18 years old,0
10000,Product closure issue,18 to 40,0
10001,Product closure issue,18 to 65 years old,0
10002,Product closure issue,over 65 years old,0
10003,Gastritis erosive,Unknown Age,1
10004,Gastritis erosive,under 1 year old,0
10005,Gastritis erosive,1 to 13 years old,0
10006,Gastritis erosive,13 to 18 years old,0
10007,Gastritis erosive,18 to 40,0
10008,Gastritis erosive,18 to 65 years old,0
10009,Gastritis erosive,over 65 years old,0
10010,Lip pain,Unknown Age,1
10011,Lip pain,under 1 year old,0
10012,Lip pain,1 to 13 years old,0
10013,Lip pain,13 to 18 years old,0
10014,Lip pain,18 to 40,0
10015,Lip pain,18 to 65 years old,0
10016,Lip pain,over 65 years old,0
10017,Diabetic metabolic decompensation,Unknown Age,0
10018,Diabetic metabolic decompensation,under 1 year old,0
10019,Diabetic metabolic decompensation,1 to 13 years old,0
10020,Diabetic metabolic decompensation,13 to 18 years old,0
10021,Diabetic metabolic decompensation,18 to 40,0
10022,Diabetic metabolic decompensation,18 to 65 years old,0
10023,Diabetic metabolic decompensation,over 65 years old,1
10024,Hypercoagulation,Unknown Age,0
10025,Hypercoagulation,under 1 year old,0
10026,Hypercoagulation,1 to 13 years old,0
10027,Hypercoagulation,13 to 18 years old,0
10028,Hypercoagulation,18 to 40,0
10029,Hypercoagulation,18 to 65 years old,0
10030,Hypercoagulation,over 65 years old,1
10031,Portal hypertension,Unknown Age,0
10032,Portal hypertension,under 1 year old,0
10033,Portal hypertension,1 to 13 years old,0
10034,Portal hypertension,13 to 18 years old,0
10035,Portal hypertension,18 to 40,0
10036,Portal hypertension,18 to 65 years old,0
10037,Portal hypertension,over 65 years old,1
10038,Bladder prolapse,Unknown Age,0
10039,Bladder prolapse,under 1 year old,0
10040,Bladder prolapse,1 to 13 years old,0
10041,Bladder prolapse,13 to 18 years old,0
10042,Bladder prolapse,18 to 40,0
10043,Bladder prolapse,18 to 65 years old,1
10044,Bladder prolapse,over 65 years old,0
10045,Bladder spasm,Unknown Age,0
10046,Bladder spasm,under 1 year old,0
10047,Bladder spasm,1 to 13 years old,0
10048,Bladder spasm,13 to 18 years old,0
10049,Bladder spasm,18 to 40,0
10050,Bladder spasm,18 to 65 years old,1
10051,Bladder spasm,over 65 years old,0
10052,Body temperature decreased,Unknown Age,0
10053,Body temperature decreased,under 1 year old,0
10054,Body temperature decreased,1 to 13 years old,0
10055,Body temperature decreased,13 to 18 years old,0
10056,Body temperature decreased,18 to 40,0
10057,Body temperature decreased,18 to 65 years old,1
10058,Body temperature decreased,over 65 years old,0
10059,Skin ulcer,Unknown Age,0
10060,Skin ulcer,under 1 year old,0
10061,Skin ulcer,1 to 13 years old,0
10062,Skin ulcer,13 to 18 years old,0
10063,Skin ulcer,18 to 40,0
10064,Skin ulcer,18 to 65 years old,1
10065,Skin ulcer,over 65 years old,0
10066,Thermal burn,Unknown Age,0
10067,Thermal burn,under 1 year old,0
10068,Thermal burn,1 to 13 years old,0
10069,Thermal burn,13 to 18 years old,0
10070,Thermal burn,18 to 40,0
10071,Thermal burn,18 to 65 years old,1
10072,Thermal burn,over 65 years old,0
10073,Amniotic cavity infection,Unknown Age,0
10074,Amniotic cavity infection,under 1 year old,0
10075,Amniotic cavity infection,1 to 13 years old,0
10076,Amniotic cavity infection,13 to 18 years old,0
10077,Amniotic cavity infection,18 to 40,1
10078,Amniotic cavity infection,18 to 65 years old,0
10079,Amniotic cavity infection,over 65 years old,0
10080,Maternal death affecting foetus,Unknown Age,0
10081,Maternal death affecting foetus,under 1 year old,0
10082,Maternal death affecting foetus,1 to 13 years old,0
10083,Maternal death affecting foetus,13 to 18 years old,0
10084,Maternal death affecting foetus,18 to 40,1
10085,Maternal death affecting foetus,18 to 65 years old,0
10086,Maternal death affecting foetus,over 65 years old,0
10087,Flank pain,Unknown Age,0
10088,Flank pain,under 1 year old,0
10089,Flank pain,1 to 13 years old,0
10090,Flank pain,13 to 18 years old,0
10091,Flank pain,18 to 40,1
10092,Flank pain,18 to 65 years old,1
10093,Flank pain,over 65 years old,1
10094,Spinal pain,Unknown Age,1
10095,Spinal pain,under 1 year old,0
10096,Spinal pain,1 to 13 years old,0
10097,Spinal pain,13 to 18 years old,0
10098,Spinal pain,18 to 40,0
10099,Spinal pain,18 to 65 years old,0
10100,Spinal pain,over 65 years old,1
10101,Lymphoedema,Unknown Age,0
10102,Lymphoedema,under 1 year old,0
10103,Lymphoedema,1 to 13 years old,0
10104,Lymphoedema,13 to 18 years old,0
10105,Lymphoedema,18 to 40,0
10106,Lymphoedema,18 to 65 years old,2
10107,Lymphoedema,over 65 years old,0
10108,Obstructive sleep apnoea syndrome,Unknown Age,0
10109,Obstructive sleep apnoea syndrome,under 1 year old,0
10110,Obstructive sleep apnoea syndrome,1 to 13 years old,0
10111,Obstructive sleep apnoea syndrome,13 to 18 years old,0
10112,Obstructive sleep apnoea syndrome,18 to 40,0
10113,Obstructive sleep apnoea syndrome,18 to 65 years old,1
10114,Obstructive sleep apnoea syndrome,over 65 years old,0
10115,Oesophageal pain,Unknown Age,0
10116,Oesophageal pain,under 1 year old,0
10117,Oesophageal pain,1 to 13 years old,0
10118,Oesophageal pain,13 to 18 years old,0
10119,Oesophageal pain,18 to 40,0
10120,Oesophageal pain,18 to 65 years old,2
10121,Oesophageal pain,over 65 years old,0
10122,Oesophageal spasm,Unknown Age,0
10123,Oesophageal spasm,under 1 year old,0
10124,Oesophageal spasm,1 to 13 years old,0
10125,Oesophageal spasm,13 to 18 years old,0
10126,Oesophageal spasm,18 to 40,0
10127,Oesophageal spasm,18 to 65 years old,2
10128,Oesophageal spasm,over 65 years old,0
10129,Sleep apnoea syndrome,Unknown Age,0
10130,Sleep apnoea syndrome,under 1 year old,0
10131,Sleep apnoea syndrome,1 to 13 years old,0
10132,Sleep apnoea syndrome,13 to 18 years old,0
10133,Sleep apnoea syndrome,18 to 40,0
10134,Sleep apnoea syndrome,18 to 65 years old,2
10135,Sleep apnoea syndrome,over 65 years old,0
10136,Tongue discolouration,Unknown Age,0
10137,Tongue discolouration,under 1 year old,0
10138,Tongue discolouration,1 to 13 years old,0
10139,Tongue discolouration,13 to 18 years old,0
10140,Tongue discolouration,18 to 40,0
10141,Tongue discolouration,18 to 65 years old,0
10142,Tongue discolouration,over 65 years old,3
10143,Ventricular extrasystoles,Unknown Age,0
10144,Ventricular extrasystoles,under 1 year old,0
10145,Ventricular extrasystoles,1 to 13 years old,0
10146,Ventricular extrasystoles,13 to 18 years old,0
10147,Ventricular extrasystoles,18 to 40,3
10148,Ventricular extrasystoles,18 to 65 years old,0
10149,Ventricular extrasystoles,over 65 years old,0
10150,Cardiotoxicity,Unknown Age,2
10151,Cardiotoxicity,under 1 year old,0
10152,Cardiotoxicity,1 to 13 years old,0
10153,Cardiotoxicity,13 to 18 years old,0
10154,Cardiotoxicity,18 to 40,0
10155,Cardiotoxicity,18 to 65 years old,0
10156,Cardiotoxicity,over 65 years old,0
10157,Lichen planus,Unknown Age,0
10158,Lichen planus,under 1 year old,0
10159,Lichen planus,1 to 13 years old,0
10160,Lichen planus,13 to 18 years old,0
10161,Lichen planus,18 to 40,0
10162,Lichen planus,18 to 65 years old,0
10163,Lichen planus,over 65 years old,1
10164,Oral lichen planus,Unknown Age,0
10165,Oral lichen planus,under 1 year old,0
10166,Oral lichen planus,1 to 13 years old,0
10167,Oral lichen planus,13 to 18 years old,0
10168,Oral lichen planus,18 to 40,0
10169,Oral lichen planus,18 to 65 years old,0
10170,Oral lichen planus,over 65 years old,1
10171,Suspected counterfeit product,Unknown Age,1
10172,Suspected counterfeit product,under 1 year old,0
10173,Suspected counterfeit product,1 to 13 years old,0
10174,Suspected counterfeit product,13 to 18 years old,0
10175,Suspected counterfeit product,18 to 40,0
10176,Suspected counterfeit product,18 to 65 years old,0
10177,Suspected counterfeit product,over 65 years old,0
10178,Blood creatinine decreased,Unknown Age,0
10179,Blood creatinine decreased,under 1 year old,0
10180,Blood creatinine decreased,1 to 13 years old,0
10181,Blood creatinine decreased,13 to 18 years old,0
10182,Blood creatinine decreased,18 to 40,1
10183,Blood creatinine decreased,18 to 65 years old,0
10184,Blood creatinine decreased,over 65 years old,1
10185,Alopecia areata,Unknown Age,0
10186,Alopecia areata,under 1 year old,0
10187,Alopecia areata,1 to 13 years old,0
10188,Alopecia areata,13 to 18 years old,0
10189,Alopecia areata,18 to 40,0
10190,Alopecia areata,18 to 65 years old,1
10191,Alopecia areata,over 65 years old,0
10192,Suspected product contamination,Unknown Age,1
10193,Suspected product contamination,under 1 year old,0
10194,Suspected product contamination,1 to 13 years old,0
10195,Suspected product contamination,13 to 18 years old,0
10196,Suspected product contamination,18 to 40,0
10197,Suspected product contamination,18 to 65 years old,0
10198,Suspected product contamination,over 65 years old,0
10199,Wrong patient,Unknown Age,0
10200,Wrong patient,under 1 year old,0
10201,Wrong patient,1 to 13 years old,0
10202,Wrong patient,13 to 18 years old,0
10203,Wrong patient,18 to 40,0
10204,Wrong patient,18 to 65 years old,0
10205,Wrong patient,over 65 years old,2
10206,Feeling drunk,Unknown Age,0
10207,Feeling drunk,under 1 year old,0
10208,Feeling drunk,1 to 13 years old,0
10209,Feeling drunk,13 to 18 years old,1
10210,Feeling drunk,18 to 40,0
10211,Feeling drunk,18 to 65 years old,0
10212,Feeling drunk,over 65 years old,0
10213,Deafness,Unknown Age,1
10214,Deafness,under 1 year old,0
10215,Deafness,1 to 13 years old,0
10216,Deafness,13 to 18 years old,0
10217,Deafness,18 to 40,0
10218,Deafness,18 to 65 years old,0
10219,Deafness,over 65 years old,1
10220,Laryngospasm,Unknown Age,1
10221,Laryngospasm,under 1 year old,0
10222,Laryngospasm,1 to 13 years old,0
10223,Laryngospasm,13 to 18 years old,0
10224,Laryngospasm,18 to 40,7
10225,Laryngospasm,18 to 65 years old,0
10226,Laryngospasm,over 65 years old,0
10227,Gastrointestinal pain,Unknown Age,0
10228,Gastrointestinal pain,under 1 year old,0
10229,Gastrointestinal pain,1 to 13 years old,0
10230,Gastrointestinal pain,13 to 18 years old,0
10231,Gastrointestinal pain,18 to 40,1
10232,Gastrointestinal pain,18 to 65 years old,0
10233,Gastrointestinal pain,over 65 years old,0
10234,Ecchymosis,Unknown Age,0
10235,Ecchymosis,under 1 year old,0
10236,Ecchymosis,1 to 13 years old,1
10237,Ecchymosis,13 to 18 years old,0
10238,Ecchymosis,18 to 40,0
10239,Ecchymosis,18 to 65 years old,0
10240,Ecchymosis,over 65 years old,0
10241,Erythema annulare,Unknown Age,0
10242,Erythema annulare,under 1 year old,0
10243,Erythema annulare,1 to 13 years old,2
10244,Erythema annulare,13 to 18 years old,0
10245,Erythema annulare,18 to 40,0
10246,Erythema annulare,18 to 65 years old,0
10247,Erythema annulare,over 65 years old,0
10248,Mechanical urticaria,Unknown Age,0
10249,Mechanical urticaria,under 1 year old,0
10250,Mechanical urticaria,1 to 13 years old,1
10251,Mechanical urticaria,13 to 18 years old,0
10252,Mechanical urticaria,18 to 40,0
10253,Mechanical urticaria,18 to 65 years old,0
10254,Mechanical urticaria,over 65 years old,0
10255,Norovirus infection,Unknown Age,0
10256,Norovirus infection,under 1 year old,0
10257,Norovirus infection,1 to 13 years old,2
10258,Norovirus infection,13 to 18 years old,0
10259,Norovirus infection,18 to 40,0
10260,Norovirus infection,18 to 65 years old,0
10261,Norovirus infection,over 65 years old,0
10262,Kidney fibrosis,Unknown Age,0
10263,Kidney fibrosis,under 1 year old,0
10264,Kidney fibrosis,1 to 13 years old,0
10265,Kidney fibrosis,13 to 18 years old,0
10266,Kidney fibrosis,18 to 40,1
10267,Kidney fibrosis,18 to 65 years old,0
10268,Kidney fibrosis,over 65 years old,0
10269,Urine output decreased,Unknown Age,0
10270,Urine output decreased,under 1 year old,0
10271,Urine output decreased,1 to 13 years old,0
10272,Urine output decreased,13 to 18 years old,0
10273,Urine output decreased,18 to 40,1
10274,Urine output decreased,18 to 65 years old,0
10275,Urine output decreased,over 65 years old,0
10276,Bronchiectasis,Unknown Age,1
10277,Bronchiectasis,under 1 year old,0
10278,Bronchiectasis,1 to 13 years old,0
10279,Bronchiectasis,13 to 18 years old,0
10280,Bronchiectasis,18 to 40,0
10281,Bronchiectasis,18 to 65 years old,0
10282,Bronchiectasis,over 65 years old,1
10283,Eye infection,Unknown Age,0
10284,Eye infection,under 1 year old,0
10285,Eye infection,1 to 13 years old,0
10286,Eye infection,13 to 18 years old,0
10287,Eye infection,18 to 40,0
10288,Eye infection,18 to 65 years old,0
10289,Eye infection,over 65 years old,1
10290,Hyperkeratosis,Unknown Age,0
10291,Hyperkeratosis,under 1 year old,0
10292,Hyperkeratosis,1 to 13 years old,0
10293,Hyperkeratosis,13 to 18 years old,0
10294,Hyperkeratosis,18 to 40,0
10295,Hyperkeratosis,18 to 65 years old,0
10296,Hyperkeratosis,over 65 years old,1
10297,Kyphosis,Unknown Age,0
10298,Kyphosis,under 1 year old,0
10299,Kyphosis,1 to 13 years old,0
10300,Kyphosis,13 to 18 years old,0
10301,Kyphosis,18 to 40,0
10302,Kyphosis,18 to 65 years old,0
10303,Kyphosis,over 65 years old,2
10304,Lung hyperinflation,Unknown Age,0
10305,Lung hyperinflation,under 1 year old,0
10306,Lung hyperinflation,1 to 13 years old,0
10307,Lung hyperinflation,13 to 18 years old,0
10308,Lung hyperinflation,18 to 40,0
10309,Lung hyperinflation,18 to 65 years old,0
10310,Lung hyperinflation,over 65 years old,1
10311,Nodule,Unknown Age,0
10312,Nodule,under 1 year old,0
10313,Nodule,1 to 13 years old,0
10314,Nodule,13 to 18 years old,0
10315,Nodule,18 to 40,0
10316,Nodule,18 to 65 years old,0
10317,Nodule,over 65 years old,1
10318,Tachyarrhythmia,Unknown Age,0
10319,Tachyarrhythmia,under 1 year old,0
10320,Tachyarrhythmia,1 to 13 years old,0
10321,Tachyarrhythmia,13 to 18 years old,0
10322,Tachyarrhythmia,18 to 40,0
10323,Tachyarrhythmia,18 to 65 years old,0
10324,Tachyarrhythmia,over 65 years old,3
10325,Tenosynovitis,Unknown Age,0
10326,Tenosynovitis,under 1 year old,0
10327,Tenosynovitis,1 to 13 years old,0
10328,Tenosynovitis,13 to 18 years old,0
10329,Tenosynovitis,18 to 40,0
10330,Tenosynovitis,18 to 65 years old,0
10331,Tenosynovitis,over 65 years old,1
10332,Ulcer,Unknown Age,0
10333,Ulcer,under 1 year old,0
10334,Ulcer,1 to 13 years old,0
10335,Ulcer,13 to 18 years old,0
10336,Ulcer,18 to 40,0
10337,Ulcer,18 to 65 years old,0
10338,Ulcer,over 65 years old,1
10339,Nerve compression,Unknown Age,1
10340,Nerve compression,under 1 year old,0
10341,Nerve compression,1 to 13 years old,0
10342,Nerve compression,13 to 18 years old,1
10343,Nerve compression,18 to 40,0
10344,Nerve compression,18 to 65 years old,0
10345,Nerve compression,over 65 years old,0
10346,Skin turgor decreased,Unknown Age,0
10347,Skin turgor decreased,under 1 year old,0
10348,Skin turgor decreased,1 to 13 years old,0
10349,Skin turgor decreased,13 to 18 years old,1
10350,Skin turgor decreased,18 to 40,0
10351,Skin turgor decreased,18 to 65 years old,0
10352,Skin turgor decreased,over 65 years old,0
10353,Staphylococcal sepsis,Unknown Age,0
10354,Staphylococcal sepsis,under 1 year old,0
10355,Staphylococcal sepsis,1 to 13 years old,0
10356,Staphylococcal sepsis,13 to 18 years old,1
10357,Staphylococcal sepsis,18 to 40,0
10358,Staphylococcal sepsis,18 to 65 years old,0
10359,Staphylococcal sepsis,over 65 years old,0
10360,Subcutaneous abscess,Unknown Age,0
10361,Subcutaneous abscess,under 1 year old,0
10362,Subcutaneous abscess,1 to 13 years old,0
10363,Subcutaneous abscess,13 to 18 years old,1
10364,Subcutaneous abscess,18 to 40,0
10365,Subcutaneous abscess,18 to 65 years old,0
10366,Subcutaneous abscess,over 65 years old,0
10367,Urinary hesitation,Unknown Age,0
10368,Urinary hesitation,under 1 year old,0
10369,Urinary hesitation,1 to 13 years old,0
10370,Urinary hesitation,13 to 18 years old,1
10371,Urinary hesitation,18 to 40,0
10372,Urinary hesitation,18 to 65 years old,0
10373,Urinary hesitation,over 65 years old,0
10374,Change in seizure presentation,Unknown Age,0
10375,Change in seizure presentation,under 1 year old,0
10376,Change in seizure presentation,1 to 13 years old,4
10377,Change in seizure presentation,13 to 18 years old,0
10378,Change in seizure presentation,18 to 40,0
10379,Change in seizure presentation,18 to 65 years old,0
10380,Change in seizure presentation,over 65 years old,0
10381,Epilepsy with myoclonic-atonic seizures,Unknown Age,0
10382,Epilepsy with myoclonic-atonic seizures,under 1 year old,0
10383,Epilepsy with myoclonic-atonic seizures,1 to 13 years old,4
10384,Epilepsy with myoclonic-atonic seizures,13 to 18 years old,0
10385,Epilepsy with myoclonic-atonic seizures,18 to 40,0
10386,Epilepsy with myoclonic-atonic seizures,18 to 65 years old,0
10387,Epilepsy with myoclonic-atonic seizures,over 65 years old,0
10388,Diffuse alveolar damage,Unknown Age,0
10389,Diffuse alveolar damage,under 1 year old,0
10390,Diffuse alveolar damage,1 to 13 years old,1
10391,Diffuse alveolar damage,13 to 18 years old,0
10392,Diffuse alveolar damage,18 to 40,0
10393,Diffuse alveolar damage,18 to 65 years old,0
10394,Diffuse alveolar damage,over 65 years old,0
10395,Pneumomediastinum,Unknown Age,0
10396,Pneumomediastinum,under 1 year old,0
10397,Pneumomediastinum,1 to 13 years old,2
10398,Pneumomediastinum,13 to 18 years old,0
10399,Pneumomediastinum,18 to 40,0
10400,Pneumomediastinum,18 to 65 years old,0
10401,Pneumomediastinum,over 65 years old,0
10402,Subcutaneous emphysema,Unknown Age,0
10403,Subcutaneous emphysema,under 1 year old,0
10404,Subcutaneous emphysema,1 to 13 years old,2
10405,Subcutaneous emphysema,13 to 18 years old,0
10406,Subcutaneous emphysema,18 to 40,0
10407,Subcutaneous emphysema,18 to 65 years old,0
10408,Subcutaneous emphysema,over 65 years old,0
10409,Traumatic haemothorax,Unknown Age,0
10410,Traumatic haemothorax,under 1 year old,0
10411,Traumatic haemothorax,1 to 13 years old,1
10412,Traumatic haemothorax,13 to 18 years old,0
10413,Traumatic haemothorax,18 to 40,0
10414,Traumatic haemothorax,18 to 65 years old,0
10415,Traumatic haemothorax,over 65 years old,0
10416,Coagulation factor decreased,Unknown Age,0
10417,Coagulation factor decreased,under 1 year old,0
10418,Coagulation factor decreased,1 to 13 years old,0
10419,Coagulation factor decreased,13 to 18 years old,0
10420,Coagulation factor decreased,18 to 40,9
10421,Coagulation factor decreased,18 to 65 years old,0
10422,Coagulation factor decreased,over 65 years old,0
10423,Blood bicarbonate decreased,Unknown Age,1
10424,Blood bicarbonate decreased,under 1 year old,0
10425,Blood bicarbonate decreased,1 to 13 years old,0
10426,Blood bicarbonate decreased,13 to 18 years old,0
10427,Blood bicarbonate decreased,18 to 40,0
10428,Blood bicarbonate decreased,18 to 65 years old,0
10429,Blood bicarbonate decreased,over 65 years old,0
10430,PCO2 decreased,Unknown Age,1
10431,PCO2 decreased,under 1 year old,0
10432,PCO2 decreased,1 to 13 years old,0
10433,PCO2 decreased,13 to 18 years old,0
10434,PCO2 decreased,18 to 40,0
10435,PCO2 decreased,18 to 65 years old,0
10436,PCO2 decreased,over 65 years old,0
10437,Wound haemorrhage,Unknown Age,0
10438,Wound haemorrhage,under 1 year old,0
10439,Wound haemorrhage,1 to 13 years old,0
10440,Wound haemorrhage,13 to 18 years old,0
10441,Wound haemorrhage,18 to 40,0
10442,Wound haemorrhage,18 to 65 years old,0
10443,Wound haemorrhage,over 65 years old,2
10444,Arteriosclerosis,Unknown Age,0
10445,Arteriosclerosis,under 1 year old,0
10446,Arteriosclerosis,1 to 13 years old,0
10447,Arteriosclerosis,13 to 18 years old,0
10448,Arteriosclerosis,18 to 40,0
10449,Arteriosclerosis,18 to 65 years old,0
10450,Arteriosclerosis,over 65 years old,2
10451,Cardiomegaly,Unknown Age,0
10452,Cardiomegaly,under 1 year old,0
10453,Cardiomegaly,1 to 13 years old,0
10454,Cardiomegaly,13 to 18 years old,0
10455,Cardiomegaly,18 to 40,0
10456,Cardiomegaly,18 to 65 years old,0
10457,Cardiomegaly,over 65 years old,2
10458,Cardiopulmonary failure,Unknown Age,0
10459,Cardiopulmonary failure,under 1 year old,0
10460,Cardiopulmonary failure,1 to 13 years old,0
10461,Cardiopulmonary failure,13 to 18 years old,0
10462,Cardiopulmonary failure,18 to 40,0
10463,Cardiopulmonary failure,18 to 65 years old,0
10464,Cardiopulmonary failure,over 65 years old,2
10465,Fungal infection,Unknown Age,1
10466,Fungal infection,under 1 year old,0
10467,Fungal infection,1 to 13 years old,0
10468,Fungal infection,13 to 18 years old,0
10469,Fungal infection,18 to 40,0
10470,Fungal infection,18 to 65 years old,0
10471,Fungal infection,over 65 years old,0
10472,Anosognosia,Unknown Age,0
10473,Anosognosia,under 1 year old,0
10474,Anosognosia,1 to 13 years old,0
10475,Anosognosia,13 to 18 years old,0
10476,Anosognosia,18 to 40,0
10477,Anosognosia,18 to 65 years old,0
10478,Anosognosia,over 65 years old,1
10479,Intercepted product administration error,Unknown Age,1
10480,Intercepted product administration error,under 1 year old,0
10481,Intercepted product administration error,1 to 13 years old,0
10482,Intercepted product administration error,13 to 18 years old,0
10483,Intercepted product administration error,18 to 40,0
10484,Intercepted product administration error,18 to 65 years old,0
10485,Intercepted product administration error,over 65 years old,0
10486,Product preparation error,Unknown Age,1
10487,Product preparation error,under 1 year old,0
10488,Product preparation error,1 to 13 years old,0
10489,Product preparation error,13 to 18 years old,0
10490,Product preparation error,18 to 40,0
10491,Product preparation error,18 to 65 years old,0
10492,Product preparation error,over 65 years old,0
10493,Wrong technique in device usage process,Unknown Age,1
10494,Wrong technique in device usage process,under 1 year old,0
10495,Wrong technique in device usage process,1 to 13 years old,0
10496,Wrong technique in device usage process,13 to 18 years old,0
10497,Wrong technique in device usage process,18 to 40,0
10498,Wrong technique in device usage process,18 to 65 years old,0
10499,Wrong technique in device usage process,over 65 years old,0
10500,Product odour abnormal,Unknown Age,1
10501,Product odour abnormal,under 1 year old,0
10502,Product odour abnormal,1 to 13 years old,0
10503,Product odour abnormal,13 to 18 years old,0
10504,Product odour abnormal,18 to 40,0
10505,Product odour abnormal,18 to 65 years old,0
10506,Product odour abnormal,over 65 years old,0
10507,Maternal drugs affecting foetus,Unknown Age,0
10508,Maternal drugs affecting foetus,under 1 year old,2
10509,Maternal drugs affecting foetus,1 to 13 years old,0
10510,Maternal drugs affecting foetus,13 to 18 years old,0
10511,Maternal drugs affecting foetus,18 to 40,0
10512,Maternal drugs affecting foetus,18 to 65 years old,0
10513,Maternal drugs affecting foetus,over 65 years old,0
10514,Dissociation,Unknown Age,1
10515,Dissociation,under 1 year old,0
10516,Dissociation,1 to 13 years old,0
10517,Dissociation,13 to 18 years old,0
10518,Dissociation,18 to 40,0
10519,Dissociation,18 to 65 years old,0
10520,Dissociation,over 65 years old,0
10521,Libido disorder,Unknown Age,1
10522,Libido disorder,under 1 year old,0
10523,Libido disorder,1 to 13 years old,0
10524,Libido disorder,13 to 18 years old,0
10525,Libido disorder,18 to 40,0
10526,Libido disorder,18 to 65 years old,0
10527,Libido disorder,over 65 years old,0
10528,Paternal exposure during pregnancy,Unknown Age,1
10529,Paternal exposure during pregnancy,under 1 year old,0
10530,Paternal exposure during pregnancy,1 to 13 years old,0
10531,Paternal exposure during pregnancy,13 to 18 years old,0
10532,Paternal exposure during pregnancy,18 to 40,0
10533,Paternal exposure during pregnancy,18 to 65 years old,0
10534,Paternal exposure during pregnancy,over 65 years old,0
10535,Personality change,Unknown Age,1
10536,Personality change,under 1 year old,0
10537,Personality change,1 to 13 years old,0
10538,Personality change,13 to 18 years old,0
10539,Personality change,18 to 40,0
10540,Personality change,18 to 65 years old,0
10541,Personality change,over 65 years old,0
10542,Posture abnormal,Unknown Age,1
10543,Posture abnormal,under 1 year old,0
10544,Posture abnormal,1 to 13 years old,0
10545,Posture abnormal,13 to 18 years old,0
10546,Posture abnormal,18 to 40,0
10547,Posture abnormal,18 to 65 years old,0
10548,Posture abnormal,over 65 years old,0
10549,Neonatal asphyxia,Unknown Age,1
10550,Neonatal asphyxia,under 1 year old,1
10551,Neonatal asphyxia,1 to 13 years old,0
